module_order,lesson_order,lesson_title,new_knowledge,allowed_prior_knowledge,future_knowledge_forbidden
5,13,"VPS, безопасность, домен, SSL","VPS, безопасность сервера, домен, SSL",Mock provider + Retries и timeouts + Rate limits и cost + RAG chunks + Embeddings и vector DB + Retrieval evaluation hallucination + LangChain и LangGraph + Безопасный вайбкодинг,да
5,14,Автодеплой и rollback,"автодеплой, CI/CD","Retries и timeouts + Rate limits и cost + RAG chunks + Embeddings и vector DB + Retrieval evaluation hallucination + LangChain и LangGraph + Безопасный вайбкодинг + VPS, безопасность, домен, SSL",да
5,15,Финальный проект: ТЗ,"финальный проект, FastAPI, SQLAlchemy, pytest","Rate limits и cost + RAG chunks + Embeddings и vector DB + Retrieval evaluation hallucination + LangChain и LangGraph + Безопасный вайбкодинг + VPS, безопасность, домен, SSL + Автодеплой и rollback",да
5,16,Финальный проект: User stories,"финальный проект, FastAPI, SQLAlchemy, pytest","RAG chunks + Embeddings и vector DB + Retrieval evaluation hallucination + LangChain и LangGraph + Безопасный вайбкодинг + VPS, безопасность, домен, SSL + Автодеплой и rollback + Финальный проект: ТЗ",да
5,17,Финальный проект: схема БД,"финальный проект, FastAPI, SQLAlchemy, pytest","Embeddings и vector DB + Retrieval evaluation hallucination + LangChain и LangGraph + Безопасный вайбкодинг + VPS, безопасность, домен, SSL + Автодеплой и rollback + Финальный проект: ТЗ + Финальный проект: User stories",да
5,18,Финальный проект: API contract,"финальный проект, FastAPI, SQLAlchemy, pytest","Retrieval evaluation hallucination + LangChain и LangGraph + Безопасный вайбкодинг + VPS, безопасность, домен, SSL + Автодеплой и rollback + Финальный проект: ТЗ + Финальный проект: User stories + Финальный проект: схема БД",да
5,19,Финальный проект: Git workflow,"финальный проект, FastAPI, SQLAlchemy, pytest, Git и GitHub","LangChain и LangGraph + Безопасный вайбкодинг + VPS, безопасность, домен, SSL + Автодеплой и rollback + Финальный проект: ТЗ + Финальный проект: User stories + Финальный проект: схема БД + Финальный проект: API contract",да
5,20,Финальный проект: FastAPI-структура,"финальный проект, FastAPI, SQLAlchemy, pytest","Безопасный вайбкодинг + VPS, безопасность, домен, SSL + Автодеплой и rollback + Финальный проект: ТЗ + Финальный проект: User stories + Финальный проект: схема БД + Финальный проект: API contract + Финальный проект: Git workflow",да
5,21,Финальный проект: SQLAlchemy models,"финальный проект, FastAPI, SQLAlchemy, pytest","VPS, безопасность, домен, SSL + Автодеплой и rollback + Финальный проект: ТЗ + Финальный проект: User stories + Финальный проект: схема БД + Финальный проект: API contract + Финальный проект: Git workflow + Финальный проект: FastAPI-структура",да
5,22,Финальный проект: Alembic migrations,"финальный проект, FastAPI, SQLAlchemy, pytest",Автодеплой и rollback + Финальный проект: ТЗ + Финальный проект: User stories + Финальный проект: схема БД + Финальный проект: API contract + Финальный проект: Git workflow + Финальный проект: FastAPI-структура + Финальный проект: SQLAlchemy models,да
5,23,Финальный проект: Auth,"финальный проект, FastAPI, SQLAlchemy, pytest",Финальный проект: ТЗ + Финальный проект: User stories + Финальный проект: схема БД + Финальный проект: API contract + Финальный проект: Git workflow + Финальный проект: FastAPI-структура + Финальный проект: SQLAlchemy models + Финальный проект: Alembic migrations,да
5,24,Финальный проект: CRUD,"финальный проект, FastAPI, SQLAlchemy, pytest",Финальный проект: User stories + Финальный проект: схема БД + Финальный проект: API contract + Финальный проект: Git workflow + Финальный проект: FastAPI-структура + Финальный проект: SQLAlchemy models + Финальный проект: Alembic migrations + Финальный проект: Auth,да
5,25,Финальный проект: Tests,"финальный проект, FastAPI, SQLAlchemy, pytest",Финальный проект: схема БД + Финальный проект: API contract + Финальный проект: Git workflow + Финальный проект: FastAPI-структура + Финальный проект: SQLAlchemy models + Финальный проект: Alembic migrations + Финальный проект: Auth + Финальный проект: CRUD,да
5,26,Финальный проект: Docker,"финальный проект, FastAPI, SQLAlchemy, pytest, Docker",Финальный проект: API contract + Финальный проект: Git workflow + Финальный проект: FastAPI-структура + Финальный проект: SQLAlchemy models + Финальный проект: Alembic migrations + Финальный проект: Auth + Финальный проект: CRUD + Финальный проект: Tests,да
5,27,Финальный проект: CI/CD,"финальный проект, FastAPI, SQLAlchemy, pytest, CI/CD, GitHub Actions, GitLab CI/CD",Финальный проект: Git workflow + Финальный проект: FastAPI-структура + Финальный проект: SQLAlchemy models + Финальный проект: Alembic migrations + Финальный проект: Auth + Финальный проект: CRUD + Финальный проект: Tests + Финальный проект: Docker,да
5,28,Финальный проект: AI integration,"финальный проект, FastAPI, SQLAlchemy, pytest, AI API",Финальный проект: FastAPI-структура + Финальный проект: SQLAlchemy models + Финальный проект: Alembic migrations + Финальный проект: Auth + Финальный проект: CRUD + Финальный проект: Tests + Финальный проект: Docker + Финальный проект: CI/CD,да
5,29,Финальный проект: Logging,"финальный проект, FastAPI, SQLAlchemy, pytest",Финальный проект: SQLAlchemy models + Финальный проект: Alembic migrations + Финальный проект: Auth + Финальный проект: CRUD + Финальный проект: Tests + Финальный проект: Docker + Финальный проект: CI/CD + Финальный проект: AI integration,да
5,30,Финальный проект: README,"финальный проект, FastAPI, SQLAlchemy, pytest",Финальный проект: Alembic migrations + Финальный проект: Auth + Финальный проект: CRUD + Финальный проект: Tests + Финальный проект: Docker + Финальный проект: CI/CD + Финальный проект: AI integration + Финальный проект: Logging,да
5,31,Финальный проект: Deploy,"финальный проект, FastAPI, SQLAlchemy, pytest, VPS, автодеплой, домен, SSL",Финальный проект: Auth + Финальный проект: CRUD + Финальный проект: Tests + Финальный проект: Docker + Финальный проект: CI/CD + Финальный проект: AI integration + Финальный проект: Logging + Финальный проект: README,да
5,32,Финальный проект: Final defense,"финальный проект, FastAPI, SQLAlchemy, pytest",Финальный проект: CRUD + Финальный проект: Tests + Финальный проект: Docker + Финальный проект: CI/CD + Финальный проект: AI integration + Финальный проект: Logging + Финальный проект: README + Финальный проект: Deploy,да
